Timestamp,CPUUtilization_actual,CPUUtilization_pred
2024-12-06 17:30:00,2.89169445216361,3.8640418
2024-12-06 17:35:00,2.8240761322589423,3.8785028
2024-12-06 17:40:00,2.834180790959966,3.8275347
2024-12-06 17:45:00,2.834104380846538,3.8494048
2024-12-06 17:50:00,2.91731499490599,3.8292248
2024-12-06 17:55:00,2.8407103825134143,3.9121366
2024-12-06 18:00:00,2.891608780216524,3.8074183
2024-12-06 18:05:00,2.87635454292933,3.8822598
2024-12-06 18:10:00,2.9932851718065145,3.8603008
2024-12-06 18:15:00,2.934500324163868,3.9923491
2024-12-06 18:20:00,2.7757571547654623,3.919105
2024-12-06 18:25:00,3.6760072242294384,3.787292
2024-12-06 18:30:00,2.882008891358446,4.738958
2024-12-06 18:35:00,6.23460451977378,3.8635728
2024-12-06 18:40:00,3.508439844401694,7.28825
2024-12-06 18:45:00,3.1818560711310755,4.64226
2024-12-06 18:50:00,2.851208669073978,4.518945
2024-12-06 18:55:00,2.86656247105752,3.8832226
2024-12-06 19:00:00,2.90833333333285,3.9877806
2024-12-06 19:05:00,2.875173659349812,3.951222
2024-12-06 19:10:00,2.831184588312038,3.829503
2024-12-06 19:15:00,2.8348152264513056,3.6612082
2024-12-06 19:20:00,2.933333333333092,3.5980518
2024-12-06 19:25:00,2.9916643512086623,3.5448012
2024-12-06 19:30:00,2.936892192276134,3.9124737
2024-12-06 19:35:00,2.8417361304058737,3.906478
2024-12-06 19:40:00,2.8316939890715185,3.8479657
2024-12-06 19:45:00,2.7927202000551,3.8446107
2024-12-06 19:50:00,2.833238399555408,3.7945588
2024-12-06 19:55:00,2.8826502732250057,3.840113
2024-12-06 20:00:00,2.8929795313510533,3.8711464
2024-12-06 20:05:00,2.9099101602299378,3.8702865
2024-12-06 20:10:00,2.866562471056308,3.8808148
2024-12-06 20:15:00,2.84198619987084,3.8378053
2024-12-06 20:20:00,2.8421181809754783,3.832953
2024-12-06 20:25:00,2.9176924145596006,3.8411381
2024-12-06 20:30:00,2.89174076132285,3.9199257
2024-12-06 20:35:00,2.809359081226721,3.8833985
2024-12-06 20:40:00,2.8754654070575043,3.8050294
2024-12-06 20:45:00,2.7990853940907257,3.8731675
2024-12-06 20:50:00,2.9353107344625355,3.7759953
2024-12-06 20:55:00,2.858921459664962,3.9365814
2024-12-06 21:00:00,2.960074557747526,3.8295898
2024-12-06 21:05:00,2.8833333333338205,3.965667
2024-12-06 21:10:00,3.095663147169772,3.860802
2024-12-06 21:15:00,2.907983699175692,4.108491
2024-12-06 21:20:00,2.792118180976204,3.8924346
2024-12-06 21:25:00,2.900893766788046,3.8333476
2024-12-06 21:30:00,2.856557377048702,3.9299102
2024-12-06 21:35:00,2.851025747893428,3.8620036
2024-12-06 21:40:00,2.89157173288852,3.8601995
2024-12-06 21:45:00,2.833643604705012,3.884406
